id,nom,prenom,naissance,deces,nationalite,artiste,photo
5db9320b-f723-4418-a1d7-6d354a9d319b,Goldstein,Jenette,1960-02-04,,us,,goldstein.jpg
37f2a816-7dc8-48f7-ad5c-588847c07313,Ross,Ricco,1960-04-16,,us,,
49242460-8b4a-4e1c-b3a4-603c9bf705c7,Rolston,Mark,1956-12-07,,us,,rolston.jpg
5170e231-b8d5-4e45-8205-d38527bccc0b,Hiller,Colette,1961-01-11,,us,,hiller.jpg
3b9eba88-84f3-40ff-a8d9-63a001ff8f04,Kash,Daniel,1959-04-25,,ca,,kash.jpg
baa8c24e-2e87-4077-acb1-c76dadf5099e,Scott,Cynthia Dale,1959-04-25,,ca,,
3dc69d31-75bf-4349-8051-8476df7658ea,MacDowell,Rosalie Anderson,1958-04-21,,us,Andie MacDowell,macdowell.jpg
c872e22c-096a-4b71-886e-491e7733d3df,Cosmatos,George P.,1941-01-04,2005-04-19,it,,
cfbc0a1a-6f79-4d89-9412-6de889a7dd84,Aykroyd,Daniel Edward,1952-07-01,,ca,Dan Aykroyd,aykroyd.jpg
6acdafbf-df9b-474e-90b7-c5138c80b843,Murphy,Edward Regan,1961-04-03,,us,Eddie Murphy,murphy.jpg
8e7b80a8-0352-4662-9255-253c748852e3,Cruse,Tom,1962-07-03,,us,,
e5bae18d-449e-4101-acca-56bc65c4a3d9,Englund,Robert,1947-06-06,,us,,englund.jpg
8c19b5cd-5a11-47d8-80a8-bc067cbfc0c7,McGillis,Kelly,1957-09-07,,us,,
c2ead2b6-4e89-422f-9cea-54d4af804efd,Anderson,Melody,1955-03-12,,ca,,
03bfee64-d1f4-4df9-92af-cefb41238336,Ramsey,Anne,1929-03-27,1988-08-11,us,,
0b7a3fe3-f303-47dc-9cf0-9ef7404055af,Hyra,Margaret Mary Emily,1961-11-19,,us,Meg Ryan,hyra.jpg
9cabf13e-ce81-4ab8-8d9a-71779bbf7201,Kilmer,Val,1959-12-31,,us,,
c98c8ab6-8fb4-40e7-ab5c-5a8675f75846,Whalley,Joanne,1961-08-25,,us,,
aa1551f5-dc8f-459c-8789-e030badce2c7,Scheider,Roy,1932-11-10,2008-02-10,us,,
dbb64dbe-23db-433e-af34-1962bcc0068c,Curtis,Jamie Lee,1958-11-22,,us,,curtis.jpg
b7e61cac-2c3f-4736-a3cc-46edc229e431,Gibson,Mel Columcille Gerard,1956-01-03,,au,Mel Gibson,gibson.jpg
7b146021-19b2-4956-97e9-fd6177845678,Ford,Harrison,1942-07-13,,us,,
0f28abed-ea87-4ebc-830c-31f975f34227,Midler,Bethany Ann,1945-12-01,,us,Bette Midler,
bd7e7669-0007-4cb5-9218-b72163039cf5,Sarandon,Susan,1946-10-04,,us,,
739e2b08-9991-4dcb-85a2-b7edc6d5337a,Davis,Geena,1956-01-21,,us,,davis.jpg
4288bb07-e9b5-46b1-9c74-64d4ba0600a8,Parker,Sarah Jessica,1965-03-25,,us,,
f83b5489-8fe1-4a0d-854c-176d18455020,Streep,Meryl,1949-06-22,,us,,streep.jpg
cc27938c-b0f3-4120-8b3c-0ed4b0328c1f,Hofman,Dustin,1937-08-08,,us,,
f12a25e5-b6b1-48a0-9dd9-11510aa744ee,Foster,Jodie,1962-11-19,,us,,
41bde72f-188a-4ccc-a63c-84d188cba9de,Mastrantonio,Mary Elizabeth,1958-11-17,,us,,
8783a35c-79df-4149-a4fa-9f6177429a18,Allen,Karen,1951-10-05,,us,,
f959123b-cf39-4894-8212-c30eb613b117,Katt,William Theodore,1951-02-16,,us,William Katt,
3dede616-b6db-4963-80d7-7d0bff8bafd2,Charlebois,Robert,1944-06-25,,ca,,
9b1e6d17-1190-4933-bd76-bcdc14d46d9b,Spielberg,Steven,1946-12-18,,us,,
f1cb9ad0-ab39-4516-96e5-87b4ef3fa0b1,Ke Quan,Jonathan,1971-08-20,,vn,Ke Huy Quan,
e713859f-af45-4aa5-941f-2cd359491f1c,Cronenberg,David,1943-03-15,,ca,,
a7e2e550-5eef-4a5d-9327-ecedcbdffbbe,Birkin,Jane,1946-12-14,,gb,,
28938581-a315-4bbf-901c-568ce241b5f0,Thompson,J. Lee,1914-08-01,2002-08-30,gb,,
fc59fc53-f690-4b6e-a3af-f57a20063260,Glen,John,1932-05-15,,gb,,
ed0aea9c-e41b-4615-8eeb-e3e45e39273e,MacDonald,Peter,1939-06-20,,gb,,
e196b96c-5686-4cd0-8318-1a91244381c0,Baird,Stuart,1947-11-30,,gb,,
75de56e5-df17-4f03-940c-c32572990c37,Matthews,Alexander Basil,1942-11-21,2018-09-22,gb,Al Matthews,
c486a57a-ff55-43d0-ae12-b02696c50154,Tipping,Timothy,1958-02-13,,gb,Tip Tipping,
bf8be473-db59-4b98-82c4-929799b69af1,Davis,Warwick,1970-02-03,,gb,,
e98c10cb-0be2-48d9-a5b6-1b8d4387a24a,Bowie,David,1947-01-08,2016-01-10,gb,,
cc34b908-947c-499d-a95b-74a87436d2e0,Scott,Ridley,1937-11-30,,gb,,
a29d67e0-fcf0-412d-bff2-5e95eb2704d1,Scott,Tony,1944-06-21,2012-08-19,gb,,
4c6389ca-0333-4abb-b648-c5509ed8a973,Espinasse,Claude,1936-06-15,2020-12-22,fr,Claude Brasseur,
6514c6fb-b221-4485-b409-82cafa2c1706,Bohringer,Richard,1942-01-16,,fr,,
6fdf82d1-1804-4d05-88a7-be92124d54ae,Lamotte,Martin,1947-06-02,,fr,,
7050e190-24e0-441a-ae1e-dc9d34a25415,Balasko,Josiane,1950-04-15,,fr,,
8b8a29ff-ad0a-420d-a140-98f89451a24f,François,Henri Jacques,1920-05-16,2003-11-25,fr,Jacques François,
3fb2633e-4857-4d64-8876-763c5adb052c,Lavanant,Dominique,1944-04-24,,fr,,
1c087b89-1d64-4072-a1e8-6a2d39cbaf15,Galabru,Michel,1922-10-27,2016-01-04,fr,,
965f4fa6-f58a-4f0e-adaf-03a73b98197d,Maillan,Jacqueline,1923-01-11,1992-05-12,fr,,maillan.jpg
ee7f1acd-faa2-4066-8b4a-b4590fffcfd8,Giraud,Roland,1942-02-14,,fr,,
c9f5529f-40f4-4de9-87db-d4116a69cc1a,Villeret,Jacques,1951-02-06,2005-01-28,fr,,
9cedaa88-2e8f-42b3-8f46-bb4baab9e926,Giraudeau,Bernard,1974-06-18,2010-07-17,fr,,
c4b4ee4a-d3bf-4954-b6d6-f57dc71ee41d,Carmet,Jean,1920-04-25,1994-04-20,fr,,
6c59baba-028d-4523-a2a3-e279b5087aa3,Gouyé,Jean Roger,1933-07-18,2003-05-23,fr,Jean Yanne,
c31959cd-ddef-4820-a26f-05bd58dda950,Muel,Jean-Paul,1944-06-03,,fr,,muel.jpg
9541d6e9-f51a-4a09-bf1a-9dfa415d89f3,Couchard,Jean Luc,1969-07-14,,be,,
1e5f3072-3480-440f-9c41-0cfd1d0be07c,Hackman,Eugene Allen,1930-01-30,,us,Gene Hackman,
13c26591-04f4-4835-a594-d1ce55e80a50,Ventura,Angiolino Giuseppe Pasquale,1919-07-14,1987-10-22,it,Lino Ventura,
9cc1f810-6a4a-4567-854e-75456a5362a0,McQueen,Terrence Stephen,1930-03-24,1980-11-07,us,Steve McQueen,
0f9fb46b-fed1-45a4-9d44-e3b1e30b5623,Dunaway,Dorothy Faye,1941-01-14,,us,Faye Dunaway,
2854d6bf-c7b7-43ec-990c-a8a8c5fa10a9,Scicolone,Sofia Villani,1934-09-20,,it,Sophia Loren,
68f6758f-8b82-42fa-8fdb-9f2d6091ce1f,Fonda,Jane Seymour,1937-12-21,,us,Jane Fonda,
55a018ac-eea4-42f9-92b2-671d376bea5d,Fawcett,Mary Farrah Leni,1947-02-02,2009-06-25,us,Farrah Fawcett,
6cadc5b7-d439-4994-8927-39602a6e720b,Johnson,Caryn Elaine,1955-11-13,,us,Whoopi Goldberg,
